,Country,Total,Male,Female,Longitude,Latitude
0,United States of America,280,239,39,-98.5795,39.828175
1,Russia,58,55,3,94.25,66.416666666
2,France,49,43,6,2.0,47.0
3,United Kingdom,43,36,5,-2.0,54.6
4,Germany,33,27,5,10.0,51.0
5,Mexico,32,24,8,-102.0,23.0
6,Japan,25,20,5,136.0,35.0
7,South Africa,25,24,1,24.0,-29.0
8,Australia,25,21,3,137.0,-28.0
9,Italy,24,20,3,12.5,42.5
10,Canada,21,21,0,-109.0,56.0
11,Spain,16,12,3,-3.5,40.2
12,People's Republic of China,14,14,0,103.451944444,35.844722222
13,Belgium,11,9,2,4.668055555,50.641111111
14,Brazil,11,11,0,-53.0,-14.0
15,India,11,11,0,83.0,22.8
16,Kingdom of the Netherlands,8,7,1,4.883333333,52.366666666
17,Ukraine,8,8,0,32.0,49.0
18,Iran,7,7,0,53.0,32.0
19,Poland,7,7,0,19.0,52.0
20,Turkey,7,7,0,36.0,39.0
21,Hungary,6,4,2,19.0,47.0
22,Austria,6,4,2,14.0,48.0
23,Pakistan,5,5,0,71.0,30.0
24,South Korea,5,4,1,128.0,36.0
25,Romania,5,4,1,25.0,46.0
26,Colombia,5,4,1,-73.25,4.0
27,Finland,4,3,1,27.0,65.0
28,Estonia,4,4,0,26.0,59.0
29,Argentina,4,4,0,-64.0,-34.0
30,Republic of Ireland,3,3,0,-8.0,53.0
31,Switzerland,3,3,0,8.231973,46.798562
32,Portugal,3,2,0,-9.183333333,38.7
33,Czech Republic,3,2,1,16.0,49.5
34,Indonesia,3,3,0,118.0,-2.0
35,Chile,3,3,0,-71.0,-33.0
36,Greece,2,2,0,23.0,38.5
37,Belarus,2,2,0,28.046666666,53.528333333
38,Slovakia,2,2,0,20.0,49.0
39,Slovenia,2,2,0,15.0,46.0
40,Dominican Republic,1,1,0,-70.2,18.8
41,Iraq,1,1,0,43.0,33.0
42,Israel,1,1,0,35.0,31.0
43,Afghanistan,1,1,0,66.0,33.0
44,Bangladesh,1,1,0,89.866667,24.016667
45,Tunisia,1,1,0,10.0,34.0
46,Morocco,1,1,0,-6.0,32.0
47,Mozambique,1,1,0,35.0,-19.0
48,Nigeria,1,1,0,8.0,9.0
49,Senegal,1,1,0,-14.283333,14.366667
50,Eswatini,1,1,0,31.433333,-26.483333
51,Sweden,1,0,1,15.0,61.0
52,Egypt,1,1,0,29.0,27.0
53,Kenya,1,1,0,38.0,0.1
54,Ghana,1,1,0,-0.5,8.0
55,Iceland,1,1,0,-19.0,65.0
56,Latvia,1,1,0,25.0,57.0
57,Moldova,1,1,0,28.516667,47.25
58,Croatia,1,1,0,15.466667,45.25
59,Kazakhstan,1,1,0,68.0,48.0
60,Peru,1,1,0,-76.0,-9.4
61,North Korea,1,1,0,127.0,40.0
62,New Zealand,1,1,0,174.0,-41.2
63,Venezuela,1,1,0,-67.0,8.0
64,Ecuador,1,1,0,-78.0,-1.0
65,Bolivia,1,1,0,-64.991228611,-17.056869611
