,Occupation,Total,Male,Female,Intersex
0,nurse,31,14,17,0
1,military personnel,25,25,0,0
2,physician,18,16,2,0
3,writer,8,7,1,0
4,soldier,8,8,0,0
5,prostitute,8,3,5,0
6,journalist,8,8,0,0
7,police officer,8,8,0,0
8,scientist,8,8,0,0
9,mechanic,6,6,0,0
10,psychiatrist,6,6,0,0
11,butcher,4,4,0,0
12,poet,4,4,0,0
13,entrepreneur,4,4,0,0
14,truck driver,4,4,0,0
15,businessperson,4,3,1,0
16,photographer,4,4,0,0
17,electrician,4,4,0,0
18,taxi driver,4,4,0,0
19,salesperson,4,4,0,0
20,gardener,4,4,0,0
21,lawyer,3,3,0,0
22,politician,3,3,0,0
23,joiner,3,3,0,0
24,American football player,3,3,0,0
25,real estate agent,3,2,1,0
26,judge,2,2,0,0
27,mercenary,2,2,0,0
28,hitman,2,2,0,0
29,procurer,2,1,1,0
30,choir director,2,2,0,0
31,technician,2,2,0,0
32,waiter,2,2,0,0
33,cook,2,0,2,0
34,chauffeur,2,2,0,0
35,leader,2,2,0,0
36,street vendor,2,1,0,1
37,novelist,2,1,1,0
38,stevedore,2,2,0,0
39,barber,2,2,0,0
40,contractor,2,2,0,0
41,mathematician,2,2,0,0
42,midwife,2,0,2,0
43,security guard,2,1,1,0
44,firefighter,2,2,0,0
45,accountant,2,2,0,0
46,aircraft pilot,2,2,0,0
47,chemist,2,2,0,0
48,merchant,2,2,0,0
49,chef,2,2,0,0
50,construction worker,2,1,1,0
51,guard,2,2,0,0
52,cobbler,2,2,0,0
53,skipper,2,2,0,0
54,teacher,2,2,0,0
55,engineer,2,2,0,0
56,dentist,1,1,0,0
57,stonemason,1,1,0,0
58,butler,1,1,0,0
59,monarch,1,0,1,0
60,bus driver,1,1,0,0
61,military leader,1,1,0,0
62,dressmaker,1,0,0,1
63,farmworker,1,1,0,0
64,amateur wrestler,1,0,1,0
65,professional wrestler,1,0,1,0
66,art forger,1,1,0,0
67,pharmacist,1,1,0,0
68,hotel manager,1,1,0,0
69,confectioner,1,1,0,0
70,environmentalist,1,1,0,0
71,baker,1,1,0,0
72,warehouseman,1,1,0,0
73,housekeeper,1,0,1,0
74,babysitter,1,1,0,0
75,forensic blood spatter analyst,1,1,0,0
76,handyperson,1,1,0,0
77,plumber,1,1,0,0
78,roofer,1,1,0,0
79,bodyguard,1,1,0,0
80,subdeacon,1,1,0,0
81,cartographer,1,1,0,0
82,business person,1,1,0,0
83,government agent,1,1,0,0
84,employee of printing,1,1,0,0
85,cowboy,1,1,0,0
86,psychologist,1,1,0,0
87,organist,1,1,0,0
88,schoolteacher,1,1,0,0
89,investment banker,1,1,0,0
90,noble,1,0,1,0
91,gambler,1,1,0,0
92,ranch hand,1,1,0,0
93,watchmaker,1,1,0,0
94,warrior,1,1,0,0
95,real estate entrepreneur,1,1,0,0
96,naval officer,1,1,0,0
97,gridiron football player,1,1,0,0
98,funeral director,1,1,0,0
99,auto mechanic,1,1,0,0
100,welder,1,1,0,0
101,damage controlman,1,1,0,0
102,blogger,1,1,0,0
103,militiaman,1,1,0,0
104,cleaner,1,1,0,0
105,clerk,1,1,0,0
106,obstetrician-gynecologist,1,1,0,0
107,surgeon,1,1,0,0
108,special agent,1,1,0,0
109,radio personality,1,1,0,0
110,illustrator,1,1,0,0
111,detective,1,1,0,0
112,marksman,1,1,0,0
113,scrivener,1,1,0,0
114,beekeeper,1,1,0,0
115,garden designer,1,1,0,0
116,landscape contractor,1,1,0,0
117,information systems technician,1,1,0,0
118,game tester,1,0,1,0
119,newspaper delivery person,1,1,0,0
120,missionary,1,1,0,0
121,witch doctor,1,0,1,0
122,turner,1,1,0,0
123,herbalist,1,0,1,0
124,roboticist,1,1,0,0
125,Q21086673,1,1,0,0
126,bookstore clerk,1,1,0,0
127,bookstore manager,1,1,0,0
128,hairdresser,1,1,0,0
129,busser,1,1,0,0
130,railway worker,1,1,0,0
131,gendarme,1,1,0,0
